data1,data2,output
-2.50919762305275,-2.5271836306660305,0
9.014286128198322,-3.341758075371935,1
4.639878836228101,-6.4769217499427985,0
1.973169683940732,2.1453334020297596,0
-6.87962719115127,-0.46751678982742284,1
-6.880109593275947,7.314019846480072,1
-8.83832775663601,-9.357808390358835,0
7.323522915498703,2.8773585511025264,0
2.0223002348641756,5.258977570231222,1
4.161451555920909,5.189731383766141,1
-9.588310114083951,7.721479341910502,1
9.398197043239886,4.580674856589882,0
6.648852816008436,8.556201232953924,1
-5.753217786434477,-3.3468680035821707,0
-6.363500655857988,0.06418833503086141,1
-6.331909802931324,-9.718406734342187,0
-3.9151551408092455,-9.860848253934176,0
0.49512863264475726,-5.197467590969602,0
-1.3610996271576852,-7.983856057218295,0
-4.175417196039161,-4.795772641284928,0
2.23705789444759,-6.459134109432052,0
-7.210122786959163,-9.429599503227035,0
-4.157107029295637,8.186082928120989,1
-2.672763134126166,-9.83553737222217,0
-0.8786003156592805,4.721642886741709,1
5.703519227860273,-6.957042261609669,0
-6.006524356832806,8.244592439992001,1
0.28468876827223255,7.855918791797716,1
1.8482913772408498,3.078022927385147,0
-9.070991745600045,3.4446829960121033,1
2.1508970380287664,-9.893217160606229,0
-6.58951752625417,9.697431322272042,1
-8.69896814029441,7.5566520715162895,1
8.977710745066666,7.902124514601841,1
9.312640661491187,3.1848907410174387,0
6.167946962329221,-3.10426142690927,1
-3.9077246165325867,7.8729729818096175,1
-8.046557719872322,-4.169661436976153,0
3.6846605302431374,1.2542308668440576,0
-1.196950125207973,-8.005380553122352,0
-7.5592353031044235,8.439112602655005,1
-0.09646179777459629,-7.184590844575734,0
-9.312229577695632,-5.502063885391855,0
8.186408041575643,1.1626831625642993,1
-4.824400367999662,5.281860004259631,1
3.2504456870796403,2.387026118725979,0
-3.7657784782117805,-5.357321743996877,0
0.40136042355621626,-9.981139149450193,0
0.934205586865593,5.143011606148784,1
-6.302910889489459,9.704146518221876,1
9.391692555291172,6.19826240612181,0
5.502656467222291,-0.795867636867694,1
8.789978831283783,8.075345227982133,1
7.896547008552975,-1.8030465376329996,1
1.9579995762217024,0.49868168486935005,0
8.437484700462335,-0.4574046520863355,1
-8.23014995896161,-1.0475225466895015,1
-6.080342751617096,5.503815385878115,1
-9.09545422178924,0.5353781453898403,1
-3.4933933847347127,-3.6656575594956786,0
-2.2264542062103594,-4.836836646830434,0
-4.573019364522082,-9.245053660651333,0
6.574750183038589,1.6639032376609197,0
-2.864933466128214,-5.400771691979315,0
-4.381309806252385,-7.037321559672338,0
0.8539216631649698,3.0765992765535533,1
-7.181515500504747,3.6241851564309773,1
6.043939615080795,5.043097845153319,0
-8.508987126404584,0.07153792677183013,1
9.737738732010346,7.88109210407773,1
5.4448953859331475,8.726855067964557,1
-6.025686369316552,6.147418795849788,1
-9.889557657527952,2.7118696401637443,1
6.309228569096682,-3.9255809281762266,1
4.137146876952343,9.658898432404424,1
4.580143360819747,-4.517276656161233,1
5.425406933718914,-5.946861560191379,1
-8.519106965318192,-1.1569177242683448,1
-2.8306854291145473,-8.86318858575223,0
-7.682618809497406,9.569889293435814,1
7.262068517511871,1.7686711283284957,0
2.4659625365511584,1.139041833283505,0
-3.3820395029470163,3.115925597994398,1
-8.728832994279527,-0.05952704445586754,1
-3.780353565686756,-9.35872965810917,0
-3.496333559465059,2.246225776807936,1
4.5921235667612805,4.323477539128612,0
2.751149427104263,-1.665018787518937,1
7.744254851526531,5.145911441423859,0
-0.5557014967610137,-5.459974013231587,0
-7.608115081233966,-5.5744681786763195,0
4.264895744459899,-6.771660246248521,0
5.215700972337949,-2.5601048042167633,1
1.2255439513899251,6.940240707781669,1
5.419343599091221,6.5582412429812855,1
-0.12408807271218514,-2.343515840729924,0
0.4546565876398816,1.7823747196047321,0
-1.4491796328290079,4.416326329498313,1
-9.491617465118097,-5.17586450743954,0
-7.842171460133911,-6.637178282105058,0
-9.371416286265315,9.44191986424622,1
2.7282082252756084,2.3511462641923693,0
-3.712880378473466,9.628314436673278,1
0.1714138232940563,-3.244880257355418,0
8.151329478521859,4.060633999482629,0
-5.014155417022501,-5.547927269175245,0
-1.7923415392874062,-4.775996574521741,0
5.1110227708609735,0.23804242539247866,1
-5.424036690167551,-3.6076374898385755,0
-8.46040180342414,-6.647568723188311,0
-4.204970941724639,-4.74238596021348,0
-6.775574254919912,-9.285032110682707,0
8.59395304685146,4.088472429549732,0
6.162407591288339,-0.15766685828276827,1
2.6680751302084698,-8.115138671909488,0
7.429211803754356,-6.566120137430175,1
6.073441537982291,-7.949309237747119,0
-6.268598822279284,2.2518561655175304,1
7.851179969799556,-8.115792727750124,0
0.786844838313014,5.085646660704322,1
6.148803103281249,-9.589781613592177,0
7.921825998469863,-5.012484240082157,1
-3.6399305005627225,7.813333517838142,1
-7.798961509446465,4.37062636244492,1
-5.441296749161166,-8.540633341486245,0
-1.4578442274748742,6.422522089703595,1
6.360295318449861,-0.13929756919590375,1
7.214611665126867,6.935660543376585,1
-9.860957389376185,2.0147954890078683,1
0.21494605155131552,3.6366606406571744,1
-1.6517799370244202,9.870031207914163,1
-5.557843790585395,-5.353289081519637,0
-7.6026926533263435,2.4789114952277664,1
-3.247696571927441,-0.7935721988520328,0
8.858194078250385,-9.21096094154617,0
-3.5359413595848954,-9.710587169942698,0
0.3758124348673224,-7.615428443642827,0
4.060379177903556,2.9818348107709625,0
-2.7274079524141204,1.3432617582678432,1
9.435641654419214,1.0685912232745487,1
9.248945898842223,-9.362864749434799,0
-4.964354083492717,-0.6139400727998598,0
-0.0550298821522901,8.492456356850571,1
-3.982433803664607,-2.048162613787068,0
-4.303190112450648,2.4984493957691267,1
-9.262261052909345,5.596373512462872,1
2.191286679597937,5.678505582837751,1
0.0535804645772302,0.3856016479054265,0
-8.970424975000213,7.159038908046725,1
-4.427070715267771,-2.172438132725061,0
8.165317719333075,7.773864295695965,1
-5.208762186660552,-5.195456672089094,0
-7.102102558175538,-4.395671860188579,0
-0.21094479444873926,-8.937587516019978,0
9.713009082212015,5.911636730845657,0
-5.158894569769991,-1.6588952753458877,0
3.442710948117572,-5.41766772177202,0
5.232392306574351,-5.364194447668407,1
-5.247249120152007,8.027998824584664,1
4.5643269722371915,6.678332009220739,1
-2.644337345614936,1.0706177071436667,1
2.646116611871589,2.322216008314422,0
2.6705942152178945,-0.5134885889941803,1
0.71549368149517,-2.1666691424238227,1
-8.194204598911835,8.30953762436663,1
6.70604991178476,-7.487745929593959,0
-3.5843987005652833,-1.6310642056754414,0
-6.269629792002915,-3.1087618402424937,0
-9.184497168904722,-0.036985594977032576,1
1.8178588637648367,-0.8473625090964987,1
3.551287236845649,0.37779063302162896,0
-9.668243421442877,-7.201620455460118,0
0.24186116598562002,0.2628300302655422,0
-5.470084496041241,-5.151623722255783,0
2.9034558081889976,-6.313373020236175,0
-6.512671419900171,-8.703315624276176,0
3.81875476204932,5.253051175122819,1
-2.265293073989252,-1.4511615828688011,0
8.73459977473469,2.532873666235167,0
